DATE,CES6561000001
1990-01-01,1664.0
1990-02-01,1665.0
1990-03-01,1665.0
1990-04-01,1656.6
1990-05-01,1677.4
1990-06-01,1695.4
1990-07-01,1694.3
1990-08-01,1703.5
1990-09-01,1701.1
1990-10-01,1701.9
1990-11-01,1711.9
1990-12-01,1719.5
1991-01-01,1737.8
1991-02-01,1731.3
1991-03-01,1740.7
1991-04-01,1740.9
1991-05-01,1739.0
1991-06-01,1732.6
1991-07-01,1734.1
1991-08-01,1735.2
1991-09-01,1737.5
1991-10-01,1741.4
1991-11-01,1737.7
1991-12-01,1732.6
1992-01-01,1731.3
1992-02-01,1724.5
1992-03-01,1713.6
1992-04-01,1713.4
1992-05-01,1699.6
1992-06-01,1719.7
1992-07-01,1715.7
1992-08-01,1713.8
1992-09-01,1709.0
1992-10-01,1705.2
1992-11-01,1700.5
1992-12-01,1704.8
1993-01-01,1709.9
1993-02-01,1708.9
1993-03-01,1703.2
1993-04-01,1718.6
1993-05-01,1733.5
1993-06-01,1753.4
1993-07-01,1766.9
1993-08-01,1782.5
1993-09-01,1781.0
1993-10-01,1785.8
1993-11-01,1801.9
1993-12-01,1813.7
1994-01-01,1829.2
1994-02-01,1834.6
1994-03-01,1846.9
1994-04-01,1858.0
1994-05-01,1877.3
1994-06-01,1888.5
1994-07-01,1901.2
1994-08-01,1910.3
1994-09-01,1929.1
1994-10-01,1939.2
1994-11-01,1953.8
1994-12-01,1966.9
1995-01-01,1970.3
1995-02-01,1983.4
1995-03-01,1991.4
1995-04-01,1999.2
1995-05-01,2006.4
1995-06-01,2006.4
1995-07-01,2008.1
1995-08-01,2021.0
1995-09-01,2021.1
1995-10-01,2034.5
1995-11-01,2034.7
1995-12-01,2040.2
1996-01-01,2037.1
1996-02-01,2044.0
1996-03-01,2054.1
1996-04-01,2061.3
1996-05-01,2064.4
1996-06-01,2076.6
1996-07-01,2087.8
1996-08-01,2091.2
1996-09-01,2087.5
1996-10-01,2101.8
1996-11-01,2112.1
1996-12-01,2114.1
